tt0034739	nm0002285	1	actor	\N	{"Samuel J. 'Sam' Doyle"}
tt0038559	nm0130407	4	actor	\N	{"Det. Maurice Obregon"}
tt0040552	nm0001229	2	actor	\N	{"Don José Lizarabengoa"}
tt0041300	nm0002013	2	actor	\N	{"Dr. John Corday"}
tt0042006	nm0926235	3	actor	\N	{"George Pappas"}
tt0042881	nm0715284	4	actor	\N	{"Col. Lamartine"}
tt0044673	nm0001229	1	actor	\N	{"Michael 'Mike' Blake"}
tt0046035	nm0932629	3	actor	\N	{"John Gage"}
tt0047820	nm0001229	1	actor	\N	{"Sam Dent"}
tt0048233	nm0001768	3	actor	\N	{"'Pinky' Pinkum"}
tt0049656	nm0000558	3	actor	\N	{"Charlie Telfer"}
tt0051496	nm0000493	2	actor	\N	{"Frank Harris"}
tt0052303	nm0427894	4	actor	\N	{"Lt. Jake 'Fuzz' Foley"}
tt0054772	nm0793363	4	actor	\N	{Suzuki}
tt0057262	nm0001229	1	actor	\N	{"John Lathrop Davis"}
tt0059460	nm0001229	1	actor	\N	{"Joe Baron"}
tt0062373	nm0001229	2	actor	\N	{"Maj. Tom Wolcott"}
tt0065003	nm0415591	3	actor	\N	{"Judge James C. Brown"}
tt0066864	nm0263052	4	actor	\N	{"Harry Masters"}
tt0071426	nm0815800	3	actor	\N	{"Captain Roy Bishop"}
tt0072498	nm0571853	7	actor	\N	{Sheriff,"Deputy Shanks"}
tt0074899	nm0000032	1	actor	\N	{"Capt. Matt Garth"}
tt0077521	nm0250436	3	actor	\N	{"Bret Easton"}
tt0110997	nm0001515	4	actor	\N	{"Roarke Hartman"}
tt0113870	nm0000198	3	actor	\N	{"Milton Glenn"}
tt0120303	nm0000102	1	actor	\N	{"Billy Magic"}
tt0156812	nm0000102	2	actor	\N	{"Jack Morris"}
tt0207607	nm0001164	4	actor	\N	{"The Captain"}
tt0373450	nm0000102	1	actor	\N	{Lanny}
tt0388213	nm0001714	3	actor	\N	{"Paul's Father"}
tt0790736	nm0000102	4	actor	\N	{Hayes}
tt0846452	nm0000102	1	actor	\N	{"Tim Werner"}
tt0874017	nm0379748	2	actor	\N	{"Chet Stafford"}
tt1213209	nm0000246	1	actor	\N	{Narrator}
tt1446548	nm0000102	1	actor	\N	\N
tt1512235	nm0933988	1	actor	\N	{"Frank Darbo"}
tt1699509	nm0855103	4	actor	\N	{Ray}
tt1949374	nm0435695	9	actor	\N	{"Bloopers Host","CHiP #2"}
tt2290075	nm0272479	10	actor	\N	{"Dr. Ilan Meyer"}
tt2386716	nm0039162	4	actor	\N	{"Mike Weston"}
tt2535252	nm0794128	3	actor	\N	{"Kelly Nelson"}
tt2675842	nm0039162	4	actor	\N	{"Mike Weston"}
tt3196602	nm3862996	4	actor	\N	{Luke,Mark}
tt3325864	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt3501804	nm0039162	2	actor	\N	{"Mike Weston"}
tt3551746	nm3862996	4	actor	\N	{Luke,Mark}
tt3588288	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt4128724	nm2991877	2	actor	\N	\N
tt4220150	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt4294382	nm0039162	2	actor	\N	{"Mike Weston"}
tt4483502	nm3862996	3	actor	\N	{Mark}
tt4630396	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt5478730	nm0001162	3	actor	\N	{Sylvere}
tt6661080	nm0001162	3	actor	\N	{Sylvere}
